text,frequency
권사,111
전장,97
역사,78
투사,77
무기,53
기공사,47
신공패,43
비공패,41
암암,40
격사,39
복귀,39
블소,38
암살,38
주술사,38
도핑,35
린검,35
암살자,32
각성,31
소사,31
냉기,29
냉주,29
마천루,28
간소화,27
기공,27
모팡,27
태천,27
비무,26
자게방지,26
기권사는,25
저항,25
곤륜,24
인던,24
현제,24
횡파,24
기존,23
화격,23
소환사,22
보패,21
광기,20
부캐로,20
주술,20
디피,19
스킬,19
스펙,19
무궁,18
암격,18
전설,18
타수,18
팔찌,18
마령,17
버그,17
번개,17
복귀유저,17
소환사는,17
대지역사,16
린검사,16
번암,16
초식,16
고양이,15
도핑은,15
바솬,15
와이어,15
이벤트,15
강신,14
직업,14
초보,14
피케이,14
기권,13
돈마천,13
매운만두,13
반지,13
격사는,12
결계,12
냉투,12
린검사는,12
번린,12
선검방진,12
엔녹투사,12
친구,12
화권,12
화기공,12
개랸,11
검사,11
만금,11
바람,11
시드,11
암역,11
용천,11
인던에서,11
제템에,11
패치,11
풍월,11
후방이동,11
기권사,10
기본,10
냉기공,10
냉기권,10
냉투는,10
무진,10
